,Company Name,Job Name,Location,Rating,Pay (Annual or Hourly)
0,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
1,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
2,Lumen,"Intern - Software Engineer - Summer 2022, CO or Remote (US)","Littleton, CO",3.3,59000 - 114000 
3,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
4,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
5,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
6,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
7,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
8,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
9,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
10,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
11,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
12,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
13,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"San Francisco, CA",4.4,38
14,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,53000 - 114000 
15,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
16,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
17,Belvedere Trading,Software Engineer Intern - Summer 2022,"Boulder, CO",3.5,105000
18,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
19,DraftKings,SOFTWARE ENGINEER INTERN (SUMMER 2022),"Boston, MA",4.4,66000 - 131000 
20,Unity Technologies,Software Engineer Intern,"San Francisco, CA",4.4,75000 - 144000 
21,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
22,Autodesk,"Intern, Software Engineer",California,4.3,N/A
23,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
24,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
25,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
26,TikTok,Software Engineer PhD Intern - 2022 Summer,"San Francisco, CA",3.6,83000 - 192000 
27,Slack,Software Engineering Intern,"San Francisco, CA",4.7,80000 - 193000 
28,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
29,Expedia Group,Intern - Software Development Engineer - Denver,"Denver, CO",4.1,N/A
30,BECHT,Software Engineering Intern/Co-op Student - Spring 2022,Remote,4.9,N/A
31,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
32,Trimble,Software Engineer Intern - AWS,"Princeton, NJ",4.5,61000 - 120000 
33,Datix,Intern Software Developer,Remote,3.8,N/A
34,Lumen,Intern - Software Developer- Summer 2022,"Broomfield, CO",3.3,61000 - 120000 
35,Rivial Data Security,User Experience Intern,Remote,N/A,15
36,Atlassian,"Software Engineer Intern, 2022 Summer U.S.","Mountain View, CA",4.6,78000 - 170000 
37,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
38,Amazon.com Services LLC,Software Development Engineer Internship - Summer 2022 (US),"Seattle, WA",3.7,99000
39,UKG (Ultimate Kronos Group),Software Engineer Intern - Spring/Summer 2022,Remote,4.1,N/A
40,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
41,NetApp,Intern - Software Engineer (BLDR),"Boulder, CO",4.1,74000 - 163000 
42,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
43,Riot Games,Software Engineering Intern,"Los Angeles, CA",4.2,75000 - 167000 
44,Amazon.com Services LLC,Software Development Engineer Intern - Amazon Robotics - Summer 2022,"North Reading, MA",3.7,75000 - 143000 
45,IBM,2022 Summer Software Engineer Intern – Impact Science,"San Jose, CA",3.9,74000 - 169000 
46,Twilio - University Programs,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",N/A,41
47,Splunk,Software Engineer Intern (Remote - Summer 2022) - 20975,"San Francisco, CA",4.1,67000 - 183000 
48,Johnson & Johnson Family of Companies,Robotics Software Engineering Intern 2022,"Redwood City, CA",4.2,69000 - 144000 
49,SEVEN EIGHT CAPITAL,2022 Software Engineer Intern (Campus Hire),"New York, NY",N/A,72000 - 171000 
50,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
51,Intel,Software Engineer - PEY Intern,"San Jose, CA",4.2,84000 - 177000 
52,Microsoft,"Ability Hiring Program, Software Engineering: Intern Opportunities","Redmond, WA",4.4,94000 - 184000 
53,Productiv Inc,"Software Engineer, Intern","Palo Alto, CA",4.7,68000 - 145000 
54,Niantic,Software Engineering Intern - Summer 2022,"San Francisco, CA",3.6,86000 - 186000 
55,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
56,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
57,"Agilent Technologies, Inc.",Software Development Intern,"Wilmington, DE",4.2,38000 - 66000 
58,TikTok,AR Effects Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,84000 - 179000 
59,Intuit,Software Engineer Intern (Summer 2022),"Mountain View, CA",4.4,78000 - 170000 
60,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
61,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
62,Datix,Intern Software Developer,Remote,3.8,N/A
63,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
64,Rivial Data Security,User Experience Intern,Remote,N/A,15
65,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4,N/A
66,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,51000 - 93000 
67,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,21
68,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,75000 - 167000 
69,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
70,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
71,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,20
72,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,65000 - 127000 
73,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,61000 - 136000 
74,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4,72000 - 156000 
75,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4,34
76,Intel,Intern Software Engineer,"Hillsboro, OR",4.2,76000 - 120000 
77,"MyWay Deliveries, LLC",Software Engineer Intern,"Newport Beach, CA",N/A,N/A
78,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
79,Asurion,Software Engineer Intern,"Nashville, TN",3.5,N/A
80,Smartcare Software,Software Engineer Intern,Remote,N/A,15 - 20 
81,"Chick-fil-A, Inc.",2022 Software Engineering Summer Intern,"Atlanta, GA",3.9,54000 - 110000 
82,Pearson,Intern - Software Engineer,"Boston, MA",3.7,61000 - 131000 
83,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,13 - 33 
84,Khan Academy,Software Engineer Intern,"Mountain View, CA",4,86000 - 155000 
85,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,59000 - 104000 
86,Nintendo of America Inc.,Intern – IT Software Engineer (NOA),"Redmond, WA",4.1,73000 - 144000 
87,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,52000 - 98000 
88,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,15
89,"Phoenix Logistics, LLC",Software Engineer Intern,"Orlando, FL",N/A,56000 - 105000 
90,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
91,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
92,Datix,Intern Software Developer,Remote,3.8,N/A
93,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
94,Rivial Data Security,User Experience Intern,Remote,N/A,15
95,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4,N/A
96,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,51000 - 93000 
97,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,21
98,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,75000 - 167000 
99,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
100,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,20
101,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,65000 - 127000 
102,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,61000 - 136000 
103,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4,72000 - 156000 
104,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4,34
105,"MyWay Deliveries, LLC",Software Engineer Intern,"Newport Beach, CA",N/A,N/A
106,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
107,Smartcare Software,Software Engineer Intern,Remote,N/A,15 - 20 
108,Pearson,Intern - Software Engineer,"Boston, MA",3.7,61000 - 131000 
109,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,13 - 33 
110,Khan Academy,Software Engineer Intern,"Mountain View, CA",4,86000 - 155000 
111,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,59000 - 104000 
112,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,52000 - 98000 
113,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,15
114,"Phoenix Logistics, LLC",Software Engineer Intern,"Orlando, FL",N/A,56000 - 105000 
115,ViaSat,Software Engineer Intern,"Carlsbad, CA",4.1,N/A
116,Forcepoint,Software Engineer Intern,"Champaign, IL",3.1,57000 - 110000 
117,Garmin,Software Engineer Intern (Part-Time) - KU Office,"Lawrence, KS",4.2,40000 - 89000 
118,U.S. Bank,2022 Undergraduate Summer Internship Program - Software Development,"Irving, TX",3.7,47000 - 103000 
119,UiPath,Software Engineer Intern,"Bellevue, WA",4.1,69000 - 138000 
120,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
121,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
122,Datix,Intern Software Developer,Remote,3.8,N/A
123,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
124,Rivial Data Security,User Experience Intern,Remote,N/A,15
125,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4,N/A
126,Prudential,Prudential: 2022 Coding & Software Development Internship,"Newark, NJ",3.8,41000 - 95000 
127,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,51000 - 93000 
128,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,21
129,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,75000 - 167000 
130,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
131,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,20
132,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,65000 - 127000 
133,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,61000 - 136000 
134,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4,72000 - 156000 
135,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4,34
136,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
137,Smartcare Software,Software Engineer Intern,Remote,N/A,15 - 20 
138,Pearson,Intern - Software Engineer,"Boston, MA",3.7,61000 - 131000 
139,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,13 - 33 
140,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,59000 - 104000 
141,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,52000 - 98000 
142,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,15
143,ViaSat,Software Engineer Intern,"Carlsbad, CA",4.1,N/A
144,Forcepoint,Software Engineer Intern,"Champaign, IL",3.1,57000 - 110000 
145,Garmin,Software Engineer Intern (Part-Time) - KU Office,"Lawrence, KS",4.2,40000 - 89000 
146,U.S. Bank,2022 Undergraduate Summer Internship Program - Software Development,"Irving, TX",3.7,47000 - 103000 
147,Vectorworks Inc.,Software Engineer Intern (Systems Development),"Columbia, MD",4,62000 - 125000 
148,Schweitzer Engineering Laboratories,Software Engineer Intern,"Pullman, WA",3.9,56000 - 120000 
149,Citadel,Software Engineer Intern,"Chicago, IL",3.7,83000 - 146000 
150,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,63000 - 125000 
151,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
152,BECHT,Software Engineering Intern/Co-op Student - Spring 2022,Remote,4.9,N/A
153,Flagship Trade Net,"Web Developement / Frontend Maintenance, Intern/Consulting Position",,N/A,20 - 30 
154,Datix,Intern Software Developer,Remote,3.8,N/A
155,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
156,Prudential,Prudential: 2022 Coding & Software Development Internship,"Newark, NJ",3.8,41000 - 95000 
157,Rivial Data Security,User Experience Intern,Remote,N/A,15
158,Prudential,Prudential: 2022 Information Technology Internship,"Newark, NJ",3.8,53000 - 122000 
159,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4,N/A
160,ITW,Software Development Intern,"Fort Lauderdale, FL",3.7,44000 - 96000 
161,Stackline,Software Engineer-2022 Internship,"Seattle, WA",4.2,71000 - 158000 
162,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,21
163,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
164,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
165,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,61000 - 136000 
166,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,65000 - 127000 
167,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,20
168,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
169,L3Harris Technologies,"Software Engineering Intern C/Coop (Greenville, TX)","Greenville, TX",3.6,48000 - 113000 
170,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4,34
171,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4,72000 - 156000 
172,Garmin,Software Engineer Intern (Part-Time) - KU Office,"Lawrence, KS",4.2,40000 - 89000 
173,Home Depot / THD,Software Engineer Intern- Orange Works,"Atlanta, GA",3.8,52000 - 118000 
174,Tesla,"Software Engineer Internship, Fleet Health (Spring 2022)","Fremont, CA",3.7,53000 - 126000 
175,U.S. Bank,2022 Undergraduate Summer Internship Program - Software Development,"Englewood, CO",3.7,15 - 16 
176,Smartcare Software,Software Engineer Intern,Remote,N/A,15 - 20 
177,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,15
178,Pearson,Intern - Software Engineer,"San Antonio, TX",3.7,52000 - 112000 
179,Verizon,Software Development Summer 2022 Internship,"Irving, TX",3.9,67000 - 151000 
180,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
181,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
182,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
183,Datix,Intern Software Developer,Remote,3.8,N/A
184,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
185,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
186,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,21
187,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
188,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
189,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
190,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
191,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
192,Autodesk,"Intern, Software Engineer",California,4.3,N/A
193,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"San Francisco, CA",4.4,38
194,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
195,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
196,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
197,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
198,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
199,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
200,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
201,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
202,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
203,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
204,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
205,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
206,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
207,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
208,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,53000 - 114000 
209,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
210,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
211,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
212,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
213,Datix,Intern Software Developer,Remote,3.8,N/A
214,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
215,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
216,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
217,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
218,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
219,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
220,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
221,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
222,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
223,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
224,Autodesk,"Intern, Software Engineer",California,4.3,N/A
225,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
226,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
227,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
228,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
229,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
230,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
231,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
232,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
233,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
234,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
235,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
236,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
237,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
238,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
239,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
240,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
241,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
242,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
243,Datix,Intern Software Developer,Remote,3.8,N/A
244,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
245,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
246,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
247,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
248,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
249,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
250,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
251,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
252,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
253,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
254,Autodesk,"Intern, Software Engineer",California,4.3,N/A
255,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
256,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
257,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
258,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
259,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
260,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
261,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
262,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
263,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
264,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
265,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
266,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
267,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
268,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
269,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
