,Company Name,Job Name,Location,Rating,Pay (Annual or Hourly)
270,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
271,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
272,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
273,Datix,Intern Software Developer,Remote,3.8,N/A
274,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
275,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
276,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
277,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
278,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
279,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
280,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
281,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
282,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
283,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
284,Autodesk,"Intern, Software Engineer",California,4.3,N/A
285,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
286,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
287,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
288,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
289,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
290,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
291,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
292,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
293,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
294,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
295,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
296,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
297,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
298,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
299,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
300,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
301,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
302,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
303,Datix,Intern Software Developer,Remote,3.8,N/A
304,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
305,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
306,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
307,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
308,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
309,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
310,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
311,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
312,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
313,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
314,Autodesk,"Intern, Software Engineer",California,4.3,N/A
315,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
316,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
317,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
318,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
319,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
320,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
321,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
322,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
323,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
324,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
325,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
326,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
327,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
328,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
329,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
330,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
331,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
332,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
333,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
334,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
335,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
336,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
337,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
338,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
339,Autodesk,"Intern, Software Engineer",California,4.3,N/A
340,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
341,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
342,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
343,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
344,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
345,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
346,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
347,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
348,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
349,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
350,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
351,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
352,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
353,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
354,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
355,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
356,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
357,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
358,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
359,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
360,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
361,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
362,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
363,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
364,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
365,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
366,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
367,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
368,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
369,Autodesk,"Intern, Software Engineer",California,4.3,N/A
370,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
371,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
372,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
373,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
374,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
375,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
376,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
377,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
378,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
379,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
380,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
381,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
382,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
383,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
384,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
385,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
386,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
387,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
388,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
389,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
390,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
391,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
392,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
393,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
394,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
395,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
396,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
397,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
398,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
399,Autodesk,"Intern, Software Engineer",California,4.3,N/A
400,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
401,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
402,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
403,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
404,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
405,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
406,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
407,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
408,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
409,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
410,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
411,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
412,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
413,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
414,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
415,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
416,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
417,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
418,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
419,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
420,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
421,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
422,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
423,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
424,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
425,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
426,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
427,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
428,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
429,Autodesk,"Intern, Software Engineer",California,4.3,N/A
430,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
431,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
432,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
433,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
434,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
435,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
436,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
437,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
438,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
439,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
440,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
441,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
442,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
443,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
444,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
445,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
446,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
447,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
448,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
449,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
450,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
451,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
452,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
453,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
454,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
455,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
456,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
457,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
458,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
459,Autodesk,"Intern, Software Engineer",California,4.3,N/A
460,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
461,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
462,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
463,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
464,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
465,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
466,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
467,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
468,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
469,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
470,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
471,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
472,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
473,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
474,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
475,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
476,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
477,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
478,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
479,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
480,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
481,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
482,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
483,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
484,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
485,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
486,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
487,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
488,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
489,Autodesk,"Intern, Software Engineer",California,4.3,N/A
490,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
491,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
492,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
493,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
494,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
495,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
496,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
497,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
498,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
499,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
500,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
501,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
502,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
503,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
504,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
505,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
506,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
507,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
508,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
509,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,79000 - 182000 
510,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
511,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
512,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
513,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
514,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
515,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
516,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
517,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
518,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
519,Autodesk,"Intern, Software Engineer",California,4.3,N/A
520,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
521,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
522,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
523,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
524,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
525,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
526,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
527,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
528,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
529,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
530,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
531,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
532,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,68000 - 135000 
533,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4,72000 - 151000 
534,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
535,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,32000 - 70000 
536,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
537,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,68000 - 159000 
538,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,90000 - 186000 
