,Company Name,Job Name,Location,Rating,Pay
201,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
202,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
203,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,$68K - $135K (Glassdoor est.)
204,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
205,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
206,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
207,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
208,Duolingo,"Software Engineering, Thrive Intern","Pittsburgh, PA",4.7,$53K - $114K (Glassdoor est.)
209,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4.0,$72K - $151K (Glassdoor est.)
210,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
211,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
212,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
213,Datix,Intern Software Developer,Remote,3.8,N/A
214,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
215,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4.0,$23 - $28 Per Hour(Employer est.)
216,Cognex Corporation,Software Engineering Intern,"Natick, MA",4.0,$70K - $132K (Glassdoor est.)
217,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
218,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
219,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
220,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
221,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
222,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
223,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
224,Autodesk,"Intern, Software Engineer",California,4.3,N/A
225,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
226,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
227,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
228,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
229,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
230,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
231,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
232,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
233,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
234,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
235,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
236,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
237,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
238,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
239,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,$63K - $126K (Glassdoor est.)
240,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
241,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
242,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
243,Datix,Intern Software Developer,Remote,3.8,N/A
244,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
245,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4.0,$23 - $28 Per Hour(Employer est.)
246,Cognex Corporation,Software Engineering Intern,"Natick, MA",4.0,$70K - $132K (Glassdoor est.)
247,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
248,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
249,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
250,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
251,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
252,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
253,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
254,Autodesk,"Intern, Software Engineer",California,4.3,N/A
255,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
256,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
257,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
258,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
259,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
260,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
261,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
262,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
263,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
264,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
265,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
266,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
267,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
268,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
269,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,$63K - $126K (Glassdoor est.)
270,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
271,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
272,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
273,Datix,Intern Software Developer,Remote,3.8,N/A
274,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
275,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4.0,$23 - $28 Per Hour(Employer est.)
276,Cognex Corporation,Software Engineering Intern,"Natick, MA",4.0,$70K - $132K (Glassdoor est.)
277,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
278,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
279,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
280,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
281,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
282,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
283,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
284,Autodesk,"Intern, Software Engineer",California,4.3,N/A
285,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
286,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
287,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
288,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
289,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
290,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
291,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
292,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
293,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
294,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
295,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
296,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
297,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
298,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
299,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,$63K - $126K (Glassdoor est.)
300,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
301,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
302,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
303,Datix,Intern Software Developer,Remote,3.8,N/A
304,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
305,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4.0,$23 - $28 Per Hour(Employer est.)
306,Cognex Corporation,Software Engineering Intern,"Natick, MA",4.0,$70K - $132K (Glassdoor est.)
307,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
308,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
309,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
310,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
311,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
312,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
313,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
314,Autodesk,"Intern, Software Engineer",California,4.3,N/A
315,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
316,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
317,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
318,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
319,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
320,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
321,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
322,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
323,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
324,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,$38 Per Hour(Employer est.)
325,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
326,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
327,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
328,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
329,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,$63K - $126K (Glassdoor est.)
330,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
331,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
332,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
333,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
334,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
335,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
336,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
337,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
338,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
339,Autodesk,"Intern, Software Engineer",California,4.3,N/A
340,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
341,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
342,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
343,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
344,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
345,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
346,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
347,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
348,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
349,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
350,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
351,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
352,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,$68K - $135K (Glassdoor est.)
353,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4.0,$72K - $151K (Glassdoor est.)
354,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
355,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
356,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
357,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,$68K - $159K (Glassdoor est.)
358,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,$90K - $186K (Glassdoor est.)
359,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,$79K - $182K (Glassdoor est.)
360,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
361,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
362,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
363,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
364,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
365,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
366,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
367,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
368,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
369,Autodesk,"Intern, Software Engineer",California,4.3,N/A
370,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
371,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
372,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
373,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
374,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
375,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,$41 Per Hour(Employer est.)
376,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,$20 - $24 Per Hour(Employer est.)
377,HP,Software Engineer Internship,"Spring, TX",4.2,$64K - $125K (Glassdoor est.)
378,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
379,Bose,Software Engineering Summer Intern,"Framingham, MA",4.0,$67K - $141K (Glassdoor est.)
380,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,$78K - $173K (Glassdoor est.)
381,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
382,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,$68K - $135K (Glassdoor est.)
383,Bose,"Embedded Software (Linux C++) Application Engineering Intern, Out Loud Audio","Framingham, MA",4.0,$72K - $151K (Glassdoor est.)
384,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,$57K - $125K (Glassdoor est.)
385,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
386,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
387,NetApp,Intern - Software Engineer (NANE),"Waltham, MA",4.1,$68K - $159K (Glassdoor est.)
388,TikTok,"GIP - Software Engineer, Mobile Intern 2021","Mountain View, CA",3.6,$90K - $186K (Glassdoor est.)
389,Databricks,Software Engineering Intern,"San Francisco, CA",4.8,$79K - $182K (Glassdoor est.)
390,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,$51K - $94K (Glassdoor est.)
391,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4.0,$34 - $36 Per Hour(Employer est.)
392,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
393,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4.0,$66K - $146K (Glassdoor est.)
394,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,$81K - $186K (Glassdoor est.)
395,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,$73K - $165K (Glassdoor est.)
396,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,$23 - $28 Per Hour(Employer est.)
397,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
398,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,$38 Per Hour(Employer est.)
399,Autodesk,"Intern, Software Engineer",California,4.3,N/A
400,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,$62K - $124K (Glassdoor est.)
401,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,$54K - $115K (Glassdoor est.)
402,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
403,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$80K - $174K (Glassdoor est.)
